陕西频道,#genre#
西安1套,http://61.150.67.62:9901/tsfile/live/1014_1.m3u8
西安1套,http://61.150.67.62:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
西安2套,http://61.150.67.62:9901/tsfile/live/1015_1.m3u8
西安2套,http://61.150.67.62:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
西安3套,http://61.150.67.62:9901/tsfile/live/1016_1.m3u8
西安3套,http://61.150.67.62:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
西安4套,http://61.150.67.62:9901/tsfile/live/1017_1.m3u8
西安4套,http://61.150.67.62:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
西安5套,http://61.150.67.62:9901/tsfile/live/1018_1.m3u8
西安5套,http://61.150.67.62:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
西安教育,http://61.150.67.62:9901/tsfile/live/1019_1.m3u8
西安教育,http://61.150.67.62:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
陕西1套,http://123.138.22.30:9901/tsfile/live/1000_1.m3u8
陕西1套,http://61.150.67.62:9901/tsfile/live/1004_1.m3u8
陕西1套,http://61.150.67.62:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
陕西2套,http://123.138.22.30:9901/tsfile/live/1001_1.m3u8
陕西2套,http://61.150.67.62:9901/tsfile/live/1005_1.m3u8
陕西2套,http://61.150.67.62:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
陕西3套,http://123.138.22.30:9901/tsfile/live/1002_1.m3u8
陕西3套,http://61.150.67.62:9901/tsfile/live/1006_1.m3u8
陕西3套,http://61.150.67.62:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
陕西4套,http://123.138.22.30:9901/tsfile/live/1003_1.m3u8
陕西4套,http://61.150.67.62:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
陕西5套,http://123.138.22.30:9901/tsfile/live/1004_1.m3u8
