陕西,#genre#
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
陕西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225821/index.m3u8
农林卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226229/index.m3u8
陕西一套,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226357/1.m3u8
陕西二套,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226358/1.m3u8
陕西三套,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226359/1.m3u8
陕西四套,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226358/index.m3u8
陕西五套,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226361/1.m3u8
陕西六套,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226364/index.m3u8
陕西七套,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226363/1.m3u8
陕西八套,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226364/1.m3u8
西安新闻综合,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226366/1.m3u8
西安都市,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226367/1.m3u8
西安商务资讯,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226368/1.m3u8
西安影视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226369/1.m3u8
西安丝路,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226370/1.m3u8
西安教育,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226371/index.m3u8
咸阳-1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226372/index.m3u8
杨凌-1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226373/index.m3u8
延安-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226374/1.m3u8
延安-2,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226375/1.m3u8
铜川-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226379/1.m3u8
铜川-2,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226380/1.m3u8
宝鸡-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226383/1.m3u8
宝鸡-2,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226384/1.m3u8
宁强-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226390/1.m3u8
宁强-2,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226389/1.m3u8
汉中-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226331/1.m3u8
汉中-3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225991/index.m3u8
佛坪-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226454/1.m3u8
镇巴-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226457/1.m3u8
略阳-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226322/1.m3u8
西乡-1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226556/index.m3u8
榆林-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226377/1.m3u8
商洛-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226378/1.m3u8
渭南-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226376/1.m3u8
陕西2,#genre#
陕西新闻资讯,http://36.46.98.174:8025/udp/239.110.205.83:7944
陕西新闻资讯,http://36.46.98.174:8025/udp/239.111.205.28:5140$陕西电信
陕西都市,http://36.46.98.174:8025/udp/239.110.205.84:7940
陕西都市,http://36.46.98.174:8025/udp/239.111.205.42:5140$陕西电信
陕西秦腔,http://36.46.98.174:8025/udp/239.111.205.100:5140$陕西电信
陕西西部电影,http://36.46.98.174:8025/udp/239.111.205.102:5140$陕西电信
陕西银龄,http://36.46.98.174:8025/udp/239.111.205.98:5140$陕西电信
陕西体育休闲,http://36.46.98.174:8025/udp/239.110.205.85:7936
陕西体育休闲,http://36.46.98.174:8025/udp/239.111.205.36:5140$陕西电信
陕西乐购购物,http://36.46.98.174:8025/udp/239.111.205.101:5140$陕西电信
西安综合,http://36.46.98.174:8025/udp/239.110.205.31:9788
西安综合,http://36.46.98.174:8025/udp/239.111.205.27:5140$陕西电信
西安乐购购物,http://36.46.98.174:8025/udp/239.111.205.30:5140$陕西电信
渭南综合,http://36.46.98.174:8025/udp/239.110.205.37:9854
渭南综合,http://36.46.98.174:8025/udp/239.111.205.19:5140$陕西电信
渭南综合,http://36.46.98.174:8025/udp/239.111.205.94:5140$陕西电信
渭南合阳,http://36.46.98.174:8025/udp/239.109.205.92:8672
渭南合阳,http://36.46.98.174:8025/udp/239.112.205.190:5140$陕西电信
渭南蒲城,http://36.46.98.174:8025/udp/239.112.205.194:5140$陕西电信
咸阳综合,http://36.46.98.174:8025/udp/239.112.205.141:5140$陕西电信
商洛综合,http://36.46.98.174:8025/udp/239.109.205.66:8464
商洛综合,http://36.46.98.174:8025/udp/239.109.205.69:8488
商洛综合,http://36.46.98.174:8025/udp/239.112.205.189:5140$陕西电信
