 央视-卫视 ,#genre#
CCTV1,http://219.147.245.238:25480/newlive/live/hls/1/live.m3u8

$adultiptv,#genre#
Anal,http://live.adultiptv.net/anal.m3u8
Asian,http://live.adultiptv.net/asian.m3u8
Big Ass,http://live.adultiptv.net/bigass.m3u8
Big Dick,http://live.adultiptv.net/bigdick.m3u8
Big Tits,http://live.adultiptv.net/bigtits.m3u8
Blonde,http://live.adultiptv.net/blonde.m3u8
Blowjob,http://live.adultiptv.net/blowjob.m3u8
Brunette,http://live.adultiptv.net/brunette.m3u8
Compilation,http://live.adultiptv.net/compilation.m3u8
Cuckold,http://live.adultiptv.net/cuckold.m3u8
Fetish,http://live.adultiptv.net/fetish.m3u8
Gangbang,http://live.adultiptv.net/gangbang.m3u8
Gay,http://live.adultiptv.net/gay.m3u8
Hardcore,http://live.adultiptv.net/hardcore.m3u8
Interracial,http://live.adultiptv.net/interracial.m3u8
Latina,http://live.adultiptv.net/latina.m3u8
Lesbian,http://live.adultiptv.net/lesbian.m3u8
Live Cams,http://live.adultiptv.net/livecams.m3u8
MILF,http://live.adultiptv.net/milf.m3u8
POV,http://live.adultiptv.net/pov.m3u8
Pornstar,http://live.adultiptv.net/pornstar.m3u8
Rough,http://live.adultiptv.net/rough.m3u8
Russian,http://live.adultiptv.net/russian.m3u8
Teen,http://live.adultiptv.net/teen.m3u8

$mycamTV,#genre#
Anal,http://live.mycamtv.com/anal.m3u8
Arab,http://live.mycamtv.com/arab.m3u8
Asian,http://live.mycamtv.com/asian.m3u8
Big Ass,http://live.mycamtv.com/bigass.m3u8
Big Tits,http://live.mycamtv.com/bigtits.m3u8
Blonde,http://live.mycamtv.com/blonde.m3u8
Blowjob,http://live.mycamtv.com/blowjob.m3u8
Brunette,http://live.mycamtv.com/brunette.m3u8
Ebony,http://live.mycamtv.com/ebony.m3u8
Girls Squirt,http://live.mycamtv.com/squirt.m3u8
Latina,http://live.mycamtv.com/latina.m3u8
Medium,http://live.mycamtv.com/medium.m3u8
Milf,http://live.mycamtv.com/milf.m3u8
Skinny,http://live.mycamtv.com/skinny.m3u8
Teen,http://live.mycamtv.com/teen.m3u8
Threesome,http://live.adultiptv.net/threesome.m3u8
White,http://live.mycamtv.com/white.m3u8

$redtraffic adult iptv,#genre#
Anal,http://live.redtraffic.xyz/anal.m3u8
Anal,http://cdn.redtraffic.net/anal.m3u8
Asian,http://live.redtraffic.xyz/asian.m3u8
Asian,http://cdn.redtraffic.net/asian.m3u8
BigAss,http://live.redtraffic.xyz/bigass.m3u8
BigAss,http://cdn.redtraffic.net/bigass.m3u8
BigDick,http://live.redtraffic.xyz/bigdick.m3u8
BigDick,http://cdn.redtraffic.net/bigdick.m3u8
BigTits,http://cdn.redtraffic.net/bigtits.m3u8
BigTits,http://live.redtraffic.xyz/bigtits.m3u8
Blonde,http://live.redtraffic.xyz/blonde.m3u8
Blonde,http://cdn.redtraffic.net/blonde.m3u8
Blowjob,http://live.redtraffic.xyz/blowjob.m3u8
Blowjob,http://cdn.redtraffic.net/blowjob.m3u8
Brunette,http://live.redtraffic.xyz/brunette.m3u8
Brunette,http://cdn.redtraffic.net/brunette.m3u8
Compilation,http://live.redtraffic.xyz/compilation.m3u8
Compilation,http://cdn.redtraffic.net/compilation.m3u8
Cuckold,http://live.redtraffic.xyz/cuckold.m3u8
Cuckold,http://cdn.redtraffic.net/cuckold.m3u8
Fetish,http://live.redtraffic.xyz/fetish.m3u8
Fetish,http://cdn.redtraffic.net/fetish.m3u8
Gangbang,http://live.redtraffic.xyz/gangbang.m3u8
Gangbang,http://cdn.redtraffic.net/gangbang.m3u8
Gangbang,http://live.redtraffic.net/gangbang.m3u8
Gay,http://live.redtraffic.xyz/gay.m3u8
Gay,http://cdn.redtraffic.net/gay.m3u8
HardCore,http://live.redtraffic.xyz/hardcore.m3u8
Hardcore,http://cdn.redtraffic.net/hardcore.m3u8
Interracial,http://live.redtraffic.xyz/interracial.m3u8
Interracial,http://cdn.redtraffic.net/interracial.m3u8
Latina,http://live.redtraffic.xyz/latina.m3u8
Latina,http://cdn.redtraffic.net/latina.m3u8
